Picado P, Picado S, Amplitud
1/25/2018 11:38:13,1/22/2018 19:18:32,2119.931396484375000
1/25/2018 11:38:31,1/22/2018 21:16:35,2269.847167968750000
1/25/2018 11:38:49,1/22/2018 22:07:45,1275.372436523437500
1/25/2018 11:40:04,1/22/2018 23:34:59,1552.156250000000000
1/25/2018 11:41:02,1/23/2018 4:10:47,1934.664916992187500
1/25/2018 11:42:43,1/23/2018 19:50:03,6358.365722656250000
1/25/2018 11:44:36,1/23/2018 20:20:02,2740.995849609375000
1/25/2018 11:44:54,1/23/2018 22:14:09,1014.394104003906250
1/25/2018 11:46:11,1/24/2018 3:04:12,1608.391113281250000
1/25/2018 11:46:50,1/24/2018 5:57:14,2192.673339843750000
1/25/2018 11:47:10,1/24/2018 6:04:27,1319.560668945312500
1/25/2018 11:47:47,1/24/2018 12:57:41,1858.520507812500000
1/29/2018 10:14:41,1/25/2018 12:27:17,1231.275756835937500
1/29/2018 10:15:46,1/25/2018 12:50:34,1683.138793945312500
1/29/2018 10:17:08,1/25/2018 16:44:13,1884.978149414062500
1/29/2018 10:17:39,1/25/2018 17:22:57,1887.280517578125000
1/29/2018 10:18:44,1/25/2018 19:02:51,3146.158203125000000
1/29/2018 10:19:48,1/26/2018 1:35:11,11787.397460937500000
1/29/2018 10:19:56,1/26/2018 1:35:40,41532.304687500000000
1/29/2018 10:24:02,1/26/2018 7:32:36,5836.681152343750000
1/29/2018 10:26:19,1/26/2018 11:26:27,1379.376586914062500
1/29/2018 10:49:17,1/27/2018 3:08:57,1032.293701171875000
1/29/2018 10:51:19,1/27/2018 6:00:04,1325.446899414062500
1/29/2018 10:51:33,1/27/2018 6:49:45,1131.152343750000000
1/29/2018 10:58:50,1/27/2018 16:39:32,7789.369140625000000
1/29/2018 10:59:42,1/27/2018 17:38:26,6310.122558593750000
1/29/2018 11:06:44,1/27/2018 17:57:01,2272.225097656250000
1/29/2018 11:10:24,1/28/2018 5:32:55,1981.661987304687500
1/29/2018 11:10:56,1/28/2018 8:56:49,1221.918701171875000
1/29/2018 11:11:15,1/28/2018 11:28:16,1595.392578125000000
1/29/2018 11:11:45,1/28/2018 12:49:49,1727.779541015625000
1/29/2018 11:12:29,1/28/2018 15:44:02,1674.532592773437500
1/29/2018 11:13:20,1/28/2018 19:45:55,1172.254516601562500
1/29/2018 11:13:42,1/28/2018 21:57:22,1521.099853515625000
1/29/2018 11:13:53,1/28/2018 22:26:59,1209.248779296875000
1/29/2018 11:14:15,1/29/2018 1:12:05,2815.416259765625000
1/30/2018 11:46:57,1/29/2018 17:30:00,1110.009887695312500
1/30/2018 11:53:55,1/30/2018 3:54:13,58951.273437500000000
2/2/2018 15:20:30,1/30/2018 15:43:52,1653.562744140625000
2/2/2018 15:21:13,1/30/2018 20:46:43,3316.064697265625000
2/2/2018 15:21:48,1/30/2018 23:55:53,1664.267211914062500
2/2/2018 15:36:59,1/31/2018 7:39:30,2194.555175781250000
2/2/2018 15:41:59,1/31/2018 12:57:07,1197.251098632812500
2/2/2018 15:47:35,1/31/2018 19:15:00,1232.289550781250000
2/2/2018 15:47:57,1/31/2018 20:36:42,1391.712524414062500
2/2/2018 15:48:34,1/31/2018 20:50:30,3701.237060546875000
1/8/2018 11:56:03,1/1/2018 2:11:38,1558.428710937500000
1/8/2018 11:59:12,1/1/2018 4:47:28,1640.521728515625000
1/8/2018 16:08:56,1/2/2018 3:08:42,3816.677246093750000
1/8/2018 16:09:02,1/2/2018 3:09:29,6905.592285156250000
1/8/2018 16:13:05,1/2/2018 4:48:35,1686.135498046875000
1/9/2018 11:17:55,1/2/2018 16:42:22,4190.783203125000000
1/9/2018 11:20:58,1/2/2018 20:09:24,1425.856201171875000
1/9/2018 11:21:17,1/2/2018 21:29:40,1072.809204101562500
1/9/2018 11:22:35,1/3/2018 0:02:56,1043.876220703125000
1/9/2018 11:41:59,1/3/2018 2:07:32,2501.350097656250000
1/9/2018 11:42:15,1/3/2018 2:10:19,2214.319580078125000
1/9/2018 11:43:44,1/3/2018 3:28:52,1988.340576171875000
1/9/2018 11:48:03,1/3/2018 6:45:45,1351.954589843750000
1/9/2018 11:51:29,1/3/2018 7:22:22,2964.478759765625000
1/9/2018 12:01:22,1/3/2018 9:21:13,1642.715942382812500
1/9/2018 12:12:12,1/3/2018 15:30:52,1414.327392578125000
1/9/2018 12:14:40,1/3/2018 22:41:33,2372.000976562500000
1/9/2018 12:14:55,1/3/2018 22:59:33,5277.363281250000000
1/9/2018 12:15:04,1/3/2018 23:52:55,1220.381103515625000
1/9/2018 12:15:58,1/4/2018 1:24:05,1252.023193359375000
1/9/2018 12:18:54,1/4/2018 3:15:08,1806.271606445312500
1/9/2018 12:22:27,1/4/2018 6:12:32,1186.035400390625000
1/9/2018 12:22:30,1/4/2018 6:12:49,1321.716796875000000
1/9/2018 12:23:16,1/4/2018 6:45:11,2505.803466796875000
1/9/2018 12:25:36,1/4/2018 10:37:42,1242.641967773437500
1/9/2018 12:26:45,1/4/2018 13:12:56,2451.820068359375000
1/9/2018 12:26:55,1/4/2018 13:24:38,1668.843383789062500
1/9/2018 12:37:06,1/5/2018 2:19:22,1391.610473632812500
1/9/2018 12:49:37,1/5/2018 7:13:33,1301.968627929687500
1/9/2018 12:56:12,1/5/2018 18:20:56,30322.501953125000000
1/9/2018 12:56:22,1/5/2018 19:00:22,3016.111083984375000
1/9/2018 12:57:43,1/5/2018 19:39:02,5390.654785156250000
1/9/2018 12:58:50,1/5/2018 23:28:24,1185.926635742187500
1/9/2018 15:04:37,1/6/2018 2:15:47,1247.829223632812500
1/9/2018 15:18:36,1/6/2018 9:31:48,1102.350463867187500
1/9/2018 15:18:43,1/6/2018 9:34:33,1400.247070312500000
1/9/2018 15:18:57,1/6/2018 9:50:07,1721.273925781250000
1/9/2018 15:20:07,1/6/2018 11:34:55,1270.428955078125000
1/9/2018 15:22:23,1/6/2018 13:09:07,3587.910156250000000
1/9/2018 15:23:53,1/6/2018 15:41:46,1171.465576171875000
1/9/2018 15:24:35,1/6/2018 19:26:16,1431.845336914062500
1/9/2018 15:40:29,1/6/2018 22:41:10,1371.974609375000000
1/9/2018 15:43:48,1/7/2018 2:12:48,1810.640380859375000
1/9/2018 15:46:26,1/7/2018 3:15:42,3691.054687500000000
1/9/2018 16:36:24,1/7/2018 6:44:55,5921.489746093750000
1/9/2018 16:48:20,1/7/2018 16:15:16,1180.127685546875000
1/9/2018 16:51:01,1/7/2018 17:54:45,2087.329833984375000
1/9/2018 16:59:12,1/8/2018 1:20:28,1039.640380859375000
1/9/2018 17:01:34,1/8/2018 7:26:50,1417.546875000000000
1/10/2018 13:42:48,1/8/2018 14:57:28,19395.111328125000000
1/10/2018 13:43:05,1/8/2018 15:51:31,1275.100463867187500
1/10/2018 13:44:26,1/8/2018 17:30:00,3461.850830078125000
1/10/2018 13:44:49,1/8/2018 19:53:34,1198.651733398437500
1/10/2018 13:45:36,1/8/2018 21:18:14,1047.272705078125000
1/10/2018 13:47:55,1/8/2018 22:55:17,1091.118041992187500
1/10/2018 13:55:12,1/9/2018 0:24:59,1405.485229492187500
1/10/2018 15:15:02,1/10/2018 2:20:32,1431.051025390625000
1/10/2018 15:19:57,1/10/2018 11:48:36,1698.379882812500000
1/10/2018 15:21:55,1/10/2018 13:34:09,28738.714843750000000
1/17/2018 12:07:33,1/10/2018 21:36:11,1069.926513671875000
1/17/2018 12:08:19,1/11/2018 0:36:06,1163.466430664062500
1/17/2018 12:16:00,1/11/2018 7:51:05,1231.803222656250000
1/17/2018 12:16:14,1/11/2018 8:06:12,2743.609375000000000
1/17/2018 12:21:58,1/11/2018 11:11:00,2738.915283203125000
1/17/2018 12:25:19,1/11/2018 13:09:18,2402.279296875000000
1/17/2018 12:54:04,1/11/2018 13:43:44,2549.997070312500000
1/17/2018 13:55:24,1/11/2018 19:10:36,1561.459350585937500
1/17/2018 14:04:07,1/12/2018 10:06:17,2232.901367187500000
1/17/2018 14:04:44,1/12/2018 10:42:23,1316.494873046875000
1/17/2018 14:04:48,1/12/2018 10:57:42,1185.295288085937500
1/17/2018 14:07:29,1/12/2018 14:18:28,1028.962768554687500
1/17/2018 14:08:54,1/12/2018 15:41:43,1287.306640625000000
1/17/2018 14:10:41,1/12/2018 18:29:17,3443.646728515625000
1/17/2018 14:11:33,1/12/2018 19:25:42,1073.000488281250000
1/17/2018 14:12:29,1/12/2018 21:04:03,1951.057739257812500
1/17/2018 14:13:23,1/13/2018 0:09:17,1372.354492187500000
1/17/2018 14:16:30,1/13/2018 5:48:29,4980.559570312500000
1/17/2018 14:18:22,1/13/2018 6:39:08,2290.750244140625000
1/17/2018 14:20:22,1/13/2018 10:49:41,14121.315429687500000
1/17/2018 14:37:05,1/14/2018 5:51:26,1443.408813476562500
1/17/2018 14:49:23,1/14/2018 17:03:21,37519.492187500000000
1/17/2018 14:49:28,1/14/2018 17:09:54,4386.836914062500000
1/17/2018 14:49:43,1/14/2018 17:23:16,2592.788574218750000
1/17/2018 14:49:48,1/14/2018 17:24:48,6765.139648437500000
1/17/2018 14:49:52,1/14/2018 17:25:01,95882.812500000000000
1/17/2018 14:52:11,1/14/2018 18:46:14,11236.811523437500000
1/17/2018 14:53:39,1/14/2018 19:42:22,12420.018554687500000
1/17/2018 14:53:56,1/14/2018 20:02:40,11213.139648437500000
1/17/2018 14:54:19,1/14/2018 21:08:26,1060.772216796875000
1/17/2018 14:56:01,1/14/2018 22:56:13,2031.381591796875000
1/17/2018 15:01:36,1/15/2018 6:23:36,1207.849975585937500
1/17/2018 15:04:14,1/15/2018 8:56:26,1121.839477539062500
1/17/2018 15:05:32,1/15/2018 11:07:20,1123.193359375000000
1/17/2018 15:06:02,1/15/2018 12:13:52,9332.614257812500000
1/17/2018 15:06:52,1/15/2018 15:22:11,1544.593139648437500
1/17/2018 15:08:37,1/15/2018 16:45:45,4725.611328125000000
1/17/2018 15:08:40,1/15/2018 16:47:14,1876.548461914062500
1/17/2018 15:10:28,1/15/2018 20:30:02,1336.229614257812500
1/17/2018 15:10:44,1/15/2018 20:40:45,1211.299072265625000
1/17/2018 15:11:55,1/15/2018 22:10:19,1678.915283203125000
1/17/2018 15:12:09,1/15/2018 22:51:02,1002.668579101562500
1/17/2018 15:12:30,1/16/2018 0:25:42,2101.063964843750000
1/17/2018 15:13:54,1/16/2018 0:40:00,22726.125000000000000
1/17/2018 15:14:52,1/16/2018 4:07:30,1121.251953125000000
1/17/2018 15:15:24,1/16/2018 5:30:04,1265.660278320312500
1/17/2018 15:15:58,1/16/2018 6:08:06,1497.469604492187500
1/17/2018 15:23:26,1/16/2018 18:11:10,1957.007202148437500
1/17/2018 15:24:09,1/16/2018 19:24:04,1266.762207031250000
1/17/2018 15:25:29,1/16/2018 22:17:55,1564.318115234375000
1/17/2018 15:25:38,1/16/2018 22:43:02,2872.717041015625000
1/17/2018 15:27:29,1/17/2018 0:01:08,2896.877685546875000
1/17/2018 15:31:34,1/17/2018 1:33:51,1151.901123046875000
1/17/2018 15:35:32,1/17/2018 12:39:34,3550.483886718750000
